Section,Subsection,Item,Value
Executive Summary,Description,, "Temporal Resonance is a 6‑month interdisciplinary research initiative exploring retrocausal information dynamics across physics, information theory, cognitive science, and archaeology. The program emphasizes open science, collective authorship, and rigorous reproducibility standards."
Document Hierarchy,Foundation Docs,Scope and objectives,"Primary scope and objectives"
Document Hierarchy,Foundation Docs,Participation,"Participation guidelines and topics"
Document Hierarchy,Foundation Docs,Milestones,"Milestone schedule"
Document Hierarchy,Governance,Decision making,"Decision‑making structure"
Document Hierarchy,Governance,Behavioural standards,"Behavioral standards"
Document Hierarchy,Governance,Collaboration channels,"Collaboration channels"
Document Hierarchy,Methodology,Methodology & reproducibility,"Methodology and reproducibility"
Document Hierarchy,Methodology,Authorship & review,"Authorship and review process"
Document Hierarchy,External,Research domains & keywords,"Research domains and keywords"
Document Hierarchy,External,Publication & dissemination,"Publication and dissemination strategy"
Temporal Framework,Milestone,2025-11-20,"CFP Release (Foundation)"
Temporal Framework,Milestone,2025-12-15,"Registration Deadline (Recruitment)"
Temporal Framework,Milestone,2026-01-10,"Abstracts Due (Content Submission)"
Temporal Framework,Milestone,2026-02-01,"Methodology Proposals (Technical Planning)"
Temporal Framework,Milestone,2026-03-15,"Draft Paper Due (Content Development)"
Temporal Framework,Milestone,2026-04-10–04-25,"Community Review (Quality Control)"
Temporal Framework,Milestone,2026-05-15,"Final Paper v1.0 (Publication Ready)"
Temporal Framework,Milestone,2026-06-01,"Workshop + Archival (Dissemination)"
Domain‑Topic Matrix,Physics,Retrocausal,●
Domain‑Topic Matrix,Physics,Signal Propagation,●
Domain‑Topic Matrix,Physics,Memory Formation,○
Domain‑Topic Matrix,Physics,Formal Linguistic,○
Domain‑Topic Matrix,Physics,Reproducibility,●
Domain‑Topic Matrix,Information Theory,Retrocausal,●
Domain‑Topic Matrix,Information Theory,Signal Propagation,●
Domain‑Topic Matrix,Information Theory,Memory Formation,●
Domain‑Topic Matrix,Information Theory,Formal Linguistic,○
Domain‑Topic Matrix,Information Theory,Reproducibility,●
Domain‑Topic Matrix,Cognitive Science,Retrocausal,○
Domain‑Topic Matrix,Cognitive Science,Signal Propagation,●
Domain‑Topic Matrix,Cognitive Science,Memory Formation,●
Domain‑Topic Matrix,Cognitive Science,Formal Linguistic,●
Domain‑Topic Matrix,Cognitive Science,Reproducibility,●
